Age,Gender,Ayear,scl_med_t,free_time,frnd_prsnl,scl_sprt_v_prsnl,scl_spc_cnt_ppl,scl_md_lmt,scl_md_mt_frn,pref_talk,Othr_pst,Oth_lkd_wshd,scl_md_jn,I_or_E,scl_md_C19,scl_md_ol,lnl_ol,compuls
19,1,1,2,3,1,1,1,2,2,1,3,1,4,0,0,15,69,3
19,1,1,2,1,2,1,2,2,1,2,1,1,3,0,0,19,42,3
18,1,1,4,1,3,3,2,4,1,2,1,1,3,1,1,13,46,6
20,1,3,3,1,2,2,4,4,4,1,2,1,4,0,1,30,50,4
21,1,3,1,4,1,1,2,0,1,2,1,2,4,1,0,8,39,2
19,1,2,2,3,1,2,2,1,2,2,1,0,4,0,1,19,48,3.5
18,1,1,1,1,1,1,4,1,2,2,1,1,1,1,0,18,31,1.5
19,1,1,1,4,1,2,2,4,1,2,1,0,3,0,0,8,42,0
22,1,4,1,1,4,4,2,1,1,2,1,0,4,1,1,8,29,1.5
20,1,2,1,4,4,3,2,1,1,2,1,0,1,0,0,6,25,1.5
18,1,2,1,3,4,1,2,1,1,2,1,0,4,0,0,8,31,1.5
19,1,2,1,3,4,1,2,1,1,2,1,0,1,1,2,18,64,1.5
18,0,0,2,2,1,3,3,2,1,2,1,1,4,1,1,14,50,3
21,1,2,4,1,4,3,3,2,2,1,1,2,1,1,2,16,49,7
21,1,2,4,1,3,2,2,2,4,1,1,1,4,0,1,18,50,7
24,0,5,3,3,4,1,2,2,2,2,1,0,1,0,1,14,52,5
18,1,1,1,4,2,2,2,1,2,2,1,0,1,0,0,13,43,1.5
21,0,3,2,1,2,2,2,2,2,2,3,1,3,0,1,22,55,3
21,1,2,1,2,3,3,2,2,4,2,1,2,1,0,0,17,41,1
28,1,5,1,1,1,1,2,2,1,2,1,1,3,0,1,15,52,1
23,1,2,5,3,2,3,3,4,2,2,1,1,3,0,2,20,27,8
29,1,5,1,3,4,3,2,2,1,2,3,1,1,1,1,11,35,1
22,1,3,1,4,4,1,1,1,1,2,1,0,4,1,0,8,39,1.5
17,0,0,2,1,2,2,2,4,1,2,1,1,4,0,1,9,53,2
20,1,3,3,3,1,3,2,2,1,2,3,0,4,1,2,11,43,5
19,1,2,1,4,3,1,2,0,1,2,1,1,4,1,1,15,44,2
20,1,3,1,1,1,1,2,2,2,2,1,2,1,1,1,6,50,1
21,1,2,4,1,4,3,3,4,2,2,3,2,2,0,2,21,47,6
21,1,3,1,1,2,2,2,1,3,2,1,1,1,0,0,16,46,1.5
20,1,3,1,4,1,1,1,2,2,2,1,2,1,1,1,21,50,1
19,1,2,2,1,1,2,2,2,2,2,1,2,1,0,1,17,50,3
18,1,2,2,1,1,2,2,4,2,2,1,1,4,0,1,11,50,2
19,1,2,2,1,1,2,3,2,2,1,1,0,4,0,2,9,49,3
19,1,2,3,1,2,4,1,2,1,2,1,0,4,0,1,23,39,5
19,0,3,2,1,3,4,2,2,2,2,3,0,4,1,2,19,41,3
22,1,3,1,4,2,1,3,1,2,2,1,2,4,0,0,12,49,1.5
20,1,3,1,1,2,4,3,1,2,2,1,2,1,0,1,16,47,1.5
21,1,3,1,4,4,1,2,2,2,2,3,0,1,1,1,14,27,1
20,0,3,2,3,2,3,2,4,1,2,1,1,3,0,1,19,39,2
21,1,3,1,4,4,5,3,1,2,2,1,0,4,0,1,11,43,1.5
19,1,3,1,2,4,2,2,1,1,2,3,0,3,1,1,18,37,1.5
19,1,2,1,3,3,3,2,1,2,2,1,0,1,0,0,7,65,1.5
